,DATO,TIME,ROOM_ID,BOOKED,MUNICIPALITY,SCHOOL,MUNICIPALITY_DATE_TIME_ROOM
0,2022-03-03,00:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-00:00:00-Room-A-demo_municipality
1,2022-03-03,01:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-01:00:00-Room-A-demo_municipality
2,2022-03-03,02:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-02:00:00-Room-A-demo_municipality
3,2022-03-03,03:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-03:00:00-Room-A-demo_municipality
4,2022-03-03,04:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-04:00:00-Room-A-demo_municipality
5,2022-03-03,05:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-05:00:00-Room-A-demo_municipality
6,2022-03-03,06:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-06:00:00-Room-A-demo_municipality
7,2022-03-03,07:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-07:00:00-Room-A-demo_municipality
8,2022-03-03,08:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-08:00:00-Room-A-demo_municipality
9,2022-03-03,09:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-09:00:00-Room-A-demo_municipality
10,2022-03-03,10:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-10:00:00-Room-A-demo_municipality
11,2022-03-03,11:00:00,Room-A,1,demo_municipality,demo_school,2022-03-03-11:00:00-Room-A-demo_municipality
12,2022-03-03,12:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-12:00:00-Room-A-demo_municipality
13,2022-03-03,13:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-13:00:00-Room-A-demo_municipality
14,2022-03-03,14:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-14:00:00-Room-A-demo_municipality
15,2022-03-03,15:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-15:00:00-Room-A-demo_municipality
16,2022-03-03,16:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-16:00:00-Room-A-demo_municipality
17,2022-03-03,17:00:00,Room-A,1,demo_municipality,demo_school,2022-03-03-17:00:00-Room-A-demo_municipality
18,2022-03-03,18:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-18:00:00-Room-A-demo_municipality
19,2022-03-03,19:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-19:00:00-Room-A-demo_municipality
20,2022-03-03,20:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-20:00:00-Room-A-demo_municipality
21,2022-03-03,21:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-21:00:00-Room-A-demo_municipality
22,2022-03-03,22:00:00,Room-A,1,demo_municipality,demo_school,2022-03-03-22:00:00-Room-A-demo_municipality
23,2022-03-03,23:00:00,Room-A,0,demo_municipality,demo_school,2022-03-03-23:00:00-Room-A-demo_municipality
24,2022-03-04,00:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-00:00:00-Room-A-demo_municipality
25,2022-03-04,01:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-01:00:00-Room-A-demo_municipality
26,2022-03-04,02:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-02:00:00-Room-A-demo_municipality
27,2022-03-04,03:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-03:00:00-Room-A-demo_municipality
28,2022-03-04,04:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-04:00:00-Room-A-demo_municipality
29,2022-03-04,05:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-05:00:00-Room-A-demo_municipality
30,2022-03-04,06:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-06:00:00-Room-A-demo_municipality
31,2022-03-04,07:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-07:00:00-Room-A-demo_municipality
32,2022-03-04,08:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-08:00:00-Room-A-demo_municipality
33,2022-03-04,09:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-09:00:00-Room-A-demo_municipality
34,2022-03-04,10:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-10:00:00-Room-A-demo_municipality
35,2022-03-04,11:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-11:00:00-Room-A-demo_municipality
36,2022-03-04,12:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-12:00:00-Room-A-demo_municipality
37,2022-03-04,13:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-13:00:00-Room-A-demo_municipality
38,2022-03-04,14:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-14:00:00-Room-A-demo_municipality
39,2022-03-04,15:00:00,Room-A,1,demo_municipality,demo_school,2022-03-04-15:00:00-Room-A-demo_municipality
40,2022-03-04,16:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-16:00:00-Room-A-demo_municipality
41,2022-03-04,17:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-17:00:00-Room-A-demo_municipality
42,2022-03-04,18:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-18:00:00-Room-A-demo_municipality
43,2022-03-04,19:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-19:00:00-Room-A-demo_municipality
44,2022-03-04,20:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-20:00:00-Room-A-demo_municipality
45,2022-03-04,21:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-21:00:00-Room-A-demo_municipality
46,2022-03-04,22:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-22:00:00-Room-A-demo_municipality
47,2022-03-04,23:00:00,Room-A,0,demo_municipality,demo_school,2022-03-04-23:00:00-Room-A-demo_municipality
48,2022-03-05,00:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-00:00:00-Room-A-demo_municipality
49,2022-03-05,01:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-01:00:00-Room-A-demo_municipality
50,2022-03-05,02:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-02:00:00-Room-A-demo_municipality
51,2022-03-05,03:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-03:00:00-Room-A-demo_municipality
52,2022-03-05,04:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-04:00:00-Room-A-demo_municipality
53,2022-03-05,05:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-05:00:00-Room-A-demo_municipality
54,2022-03-05,06:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-06:00:00-Room-A-demo_municipality
55,2022-03-05,07:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-07:00:00-Room-A-demo_municipality
56,2022-03-05,08:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-08:00:00-Room-A-demo_municipality
57,2022-03-05,09:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-09:00:00-Room-A-demo_municipality
58,2022-03-05,10:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-10:00:00-Room-A-demo_municipality
59,2022-03-05,11:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-11:00:00-Room-A-demo_municipality
60,2022-03-05,12:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-12:00:00-Room-A-demo_municipality
61,2022-03-05,13:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-13:00:00-Room-A-demo_municipality
62,2022-03-05,14:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-14:00:00-Room-A-demo_municipality
63,2022-03-05,15:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-15:00:00-Room-A-demo_municipality
64,2022-03-05,16:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-16:00:00-Room-A-demo_municipality
65,2022-03-05,17:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-17:00:00-Room-A-demo_municipality
66,2022-03-05,18:00:00,Room-A,1,demo_municipality,demo_school,2022-03-05-18:00:00-Room-A-demo_municipality
67,2022-03-05,19:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-19:00:00-Room-A-demo_municipality
68,2022-03-05,20:00:00,Room-A,1,demo_municipality,demo_school,2022-03-05-20:00:00-Room-A-demo_municipality
69,2022-03-05,21:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-21:00:00-Room-A-demo_municipality
70,2022-03-05,22:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-22:00:00-Room-A-demo_municipality
71,2022-03-05,23:00:00,Room-A,0,demo_municipality,demo_school,2022-03-05-23:00:00-Room-A-demo_municipality
72,2022-03-06,00:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-00:00:00-Room-A-demo_municipality
73,2022-03-06,01:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-01:00:00-Room-A-demo_municipality
74,2022-03-06,02:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-02:00:00-Room-A-demo_municipality
75,2022-03-06,03:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-03:00:00-Room-A-demo_municipality
76,2022-03-06,04:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-04:00:00-Room-A-demo_municipality
77,2022-03-06,05:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-05:00:00-Room-A-demo_municipality
78,2022-03-06,06:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-06:00:00-Room-A-demo_municipality
79,2022-03-06,07:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-07:00:00-Room-A-demo_municipality
80,2022-03-06,08:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-08:00:00-Room-A-demo_municipality
81,2022-03-06,09:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-09:00:00-Room-A-demo_municipality
82,2022-03-06,10:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-10:00:00-Room-A-demo_municipality
83,2022-03-06,11:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-11:00:00-Room-A-demo_municipality
84,2022-03-06,12:00:00,Room-A,0,demo_municipality,demo_school,2022-03-06-12:00:00-Room-A-demo_municipality
